taxon,range_size,niche_breadth,n_pts
Egernia stokesii,2039796.56165,0.031458616583199,1930
Egernia striolata,1759725.171173,0.420201117711466,1913
Elapognathus coronatus,215496.370507,0.088853009561152,1498
Elapognathus minor,17216.397256,0.006407983365325,405
Emoia longicauda,384954.135456,0.241583706610046,1674
Eremiascincus brongersmai,36454.0051,0.004349250290106,722
Eremiascincus douglasi,137738.964337,0.005611747329398,1331
Eremiascincus fasciolatus,4115246.442134,0.230772327247915,1962
Eremiascincus intermedius,364203.586805,0.020432454925974,1645
Eremiascincus isolepis,710379.408853,0.044432670558462,1802
Eremiascincus musivus,51119.413628,0.002160980994389,857
Eremiascincus pallidus,923294.954919,0.021688669930139,1844
Eremiascincus pardalis,147378.476329,0.028802071764743,1341
Eremiascincus phantasmus,114426.568476,7.37264887940095E-05,1235
Eremiascincus richardsonii,5492109.269881,0.201367742897543,1970
Eroticoscincus graciloides,50248.993893,0.014041823421345,850
Eugongylus rufescens,835121.988561,0.288330656033539,1857
Eulamprus heatwolei,237344.502934,0.078065455921563,1517
Eulamprus kosciuskoi,99018.602615,0.058432855950862,1168
Eulamprus leuraensis,5700.061388,0.006313896339846,151
Eulamprus quoyii,759653.624093,0.406180739483097,1810
Eulamprus tympanum,219688.055816,0.104760730194782,1496
Fordonia leucobalia,921053.744325,0.687469580155317,1501
Furina barnardi,546452.915652,0.200263388969703,1786
Furina diadema,1071311.802707,0.177676200240081,1858
Furina dunmalli,151645.014047,0.007770627550453,1328
Furina ornata,5055514.596695,0.505228982417497,1974
Furina tristis,139261.988974,0.093193131738499,1327
Gehyra australis,1246688.758422,0.555661594564652,1877
Gehyra baliola,198687.140045,0.035298051818228,1464
Gehyra borroloola,361926.916196,0.066080357273635,1664
Gehyra catenata,235255.832427,0.010036825524042,1497
Gehyra dubia,1614450.726885,0.651097673608778,1907
Gehyra fenestra,18011.212202,0.003307797610335,437
Gehyra koira,52736.743489,0.002783282059389,864
Gehyra lazelli,586073.828689,0.029483602441751,1791
Gehyra minuta,174601.049248,0.003114009922976,1391
Gehyra montium,354399.363524,0.007359916359442,1673
Gehyra moritzi,3961.823064,0.000310196679315,115
Gehyra multiporosa,19128.474989,0.004718543381141,456
Gehyra nana,884107.09413,0.069958802514301,1824
Gehyra occidentalis,65963.111323,0.013623232394806,985
Gehyra pamela,21069.753881,0.002131033759489,491
Gehyra pilbara,1617486.342091,0.074356156049639,1915
Gehyra pulingka,18690.565142,8.77253583182334E-05,430
Gehyra punctata,939744.485716,0.041451447014839,1854
Gehyra purpurascens,1941185.512493,0.041452773178649,1913
Gehyra robusta,93039.038424,0.004406481506676,1114
Gehyra spheniscus,29413.738988,0.008423015979779,627
Gehyra variegata,2918789.646553,0.170426284671774,1949
Gehyra versicolor,226002.039966,0.02366924382426,1516
Gehyra xenopus,41417.296013,0.004292808909388,790
Glaphyromorphus clandestinus,3296.030516,0.003957998673335,94
Glaphyromorphus cracens,50027.532696,0.069119213911474,849
Glaphyromorphus crassicaudus,175508.613158,0.149515891107035,1426
Glaphyromorphus darwiniensis,354072.829558,0.012085898098925,1657
Glaphyromorphus fuscicaudis,15252.409662,0.031761007855335,377
Glaphyromorphus mjobergi,32691.959163,0.075591131867268,658
Glaphyromorphus nigricaudis,269443.65488,0.316363407221067,1586
Glaphyromorphus nyanchupinta,392.650411,0.000352047090576,13
Glaphyromorphus othelarrni,346.719585,0.00063206347119,12
Glaphyromorphus pumilus,88834.414064,0.029113668617866,1104
Glaphyromorphus punctulatus,214097.27427,0.043483922672483,1494
Harrisoniascincus zia,28448.903774,0.020037807695435,614
Hemiaspis damelii,413691.554537,0.043621950213823,1685
Hemiaspis signata,346907.985397,0.244040237215027,1623
Hemiergis decresiensis,1096396.580082,0.119792663042695,1864
Hemiergis gracilipes,73655.898141,0.034708155443536,1052
Hemiergis initialis,320642.160325,0.05661304211231,1636
Hemiergis millewae,309698.534531,0.018771346306144,1590
Hemiergis peronii,620683.426531,0.050608326878115,1791
Hemiergis quadrilineata,24513.306815,0.011022042485069,533
Hemiergis talbingoensis,365013.530699,0.085922147025911,1646
Hemisphaeriodon gerrardii,403469.125633,0.192524984286926,1691
Hesperoedura reticulata,112505.609578,0.016221387515345,1193
Heteronotia atra,7155.082101,0.000388151173138,193
Heteronotia binoei,7117826.333465,0.635019321668438,1978
