SNP,miss_prop
V1475,0.15
V1476,0.84
V1477,0.04
V1478,0.38
V1479,0.23
V1480,0.18
V1481,0.19
V1482,0.3
V1483,0.36
V1484,0.37
V1485,0.16
V1486,0.38
V1487,0.37
V1488,0.79
V1489,0.22
V1490,0.03
V1491,0.1
V1492,0.05
V1493,0.16
V1494,0.12
V1495,0.11
V1496,0.84
V1497,0.16
V1498,0.15
V1499,0.25
V1500,0.12
V1501,0
V1502,0.38
V1503,0.36
V1504,0.15
V1505,0.34
V1506,0.25
V1507,0.38
V1508,0.32
V1509,0.81
V1510,0.07
V1511,0.27
V1512,0.18
V1513,0.3
V1514,0.26
V1515,0.08
V1516,0.16
V1517,0.97
V1518,0.32
V1519,0.38
V1520,0.27
V1521,0.11
V1522,0.15
V1523,0.14
V1524,0.84
V1525,0.12
V1526,0.21
V1527,0.01
V1528,0.84
V1529,0.05
V1530,0.3
V1531,0.11
V1532,0.18
V1533,0.18
V1534,0.37
V1535,0.33
V1536,0.25
V1537,0.29
V1538,0.32
V1539,0.84
V1540,0.33
V1541,0.16
V1542,0.16
V1543,0.79
V1544,0.36
V1545,0.38
V1546,0.25
V1547,0.1
V1548,0.22
V1549,0.26
V1550,0.33
V1551,0.23
V1552,0.12
V1553,0.04
V1554,0.11
V1555,0.29
V1556,0.79
V1557,0.25
V1558,0.85
V1559,0.01
V1560,0.07
V1561,0.04
V1562,0.29
V1563,0.07
V1564,0.26
V1565,0.19
V1566,0.19
V1567,0.37
V1568,0.14
V1569,0.23
V1570,0.36
V1571,0.1
V1572,0.78
V1573,0.36
V1574,0.14
V1575,0.79
V1576,0.21
V1577,0.18
V1578,0.14
V1579,0.08
V1580,0.86
V1581,0.36
V1582,0.08
V1583,0.03
V1584,0.16
V1585,0.3
V1586,0.37
V1587,0.21
V1588,0.29
V1589,0.12
V1590,0.36
V1591,0.81
V1592,0.1
V1593,0.16
V1594,0.38
V1595,0.11
V1596,0.27
V1597,0.25
V1598,0.18
V1599,0.25
V1600,0.3
V1601,0.11
V1602,0.07
V1603,0.14
V1604,0.08
V1605,0.38
V1606,0.37
V1607,0.37
V1608,0.18
V1609,0.03
V1610,0.82
V1611,0.26
V1612,0.27
V1613,0.15
V1614,0.27
V1615,0.22
V1616,0.07
V1617,0.82
V1618,0.16
V1619,0.34
V1620,0.08
V1621,0.14
V1622,0.32
V1623,0.21
V1624,0.07
V1625,0.79
V1626,0.86
V1627,0.23
V1628,0.12
V1629,0.08
V1630,0.04
V1631,0.23
V1632,0.74
V1633,0.07
V1634,0.85
V1635,0.4
V1636,0.04
V1637,0.79
V1638,0.33
V1639,0.22
V1640,0.38
V1641,0.79
V1642,0.23
V1643,0.1
V1644,0.19
V1645,0.08
V1646,0.33
V1647,0.81
V1648,0.16
V1649,0.16
V1650,0.22
V1651,0.32
V1652,0.01
V1653,0.11
V1654,0.3
V1655,0.12
V1656,0.12
V1657,0.23
V1658,0.03
V1659,0.36
V1660,0.25
V1661,0.12
V1662,0.04
V1663,0.22
V1664,0.07
V1665,0.27
V1666,0.05
V1667,0.1
V1668,0.29
V1669,0.36
V1670,0.95
V1671,0.32
V1672,0.36
V1673,0.37
V1674,0.4
V1675,0.12
V1676,0.19
V1677,0.3
V1678,0.81
V1679,0.16
V1680,0.01
V1681,0.92
V1682,0.32
V1683,0.22
V1684,0.99
V1685,0.26
V1686,0.04
V1687,0.08
V1688,0.16
V1689,0.79
V1690,0.4
V1691,0.34
V1692,0.29
V1693,0.08
V1694,0.1
V1695,0.22
V1696,0.14
V1697,0.81
V1698,0.05
V1699,0.29
V1700,0.34
V1701,0.25
V1702,0.25
V1703,0.12
V1704,0.14
V1705,0.3
V1706,0.4
V1707,0.15
V1708,0.07
V1709,0.36
V1710,0.4
V1711,0.05
V1712,0.18
V1713,0.18
V1714,0.38
V1715,0.19
V1716,0.11
V1717,0.25
V1718,0.23
V1719,0.92
V1720,0.11
V1721,0.07
V1722,0.22
V1723,0.14
V1724,0.05
V1725,0.23
V1726,0.21
V1727,0.23
V1728,0.78
V1729,0.14
V1730,0.1
V1731,0.79
V1732,0.79
V1733,0.21
V1734,0.14
V1735,0.3
V1736,0.81
V1737,0.4
V1738,0.86
V1739,0.81
V1740,0.81
V1741,0.47
V1742,0.41
V1743,0.19
V1744,0.81
V1745,0.12
V1746,0.4
V1747,0.41
V1748,0.36
V1749,0.3
V1750,0.38
V1751,0.41
V1752,0.38
V1753,0.4
V1754,0.14
V1755,0.3
V1756,0.32
V1757,0.84
V1758,0.3
V1759,0.29
V1760,0.38
V1761,0.12
V1762,0.07
V1763,0.05
V1764,0.14
V1765,0.34
V1766,0.38
V1767,0.29
V1768,0.08
V1769,0.37
V1770,0.4
V1771,0.34
V1772,0.11
V1773,0.22
V1774,0.1
V1775,0.27
V1776,0.36
V1777,0.34
V1778,0.1
V1779,0.05
V1780,0.82
V1781,0.84
V1782,0.25
V1783,0.27
V1784,0.37
V1785,0.07
V1786,0.4
V1787,0.21
V1788,0.4
V1789,0.01
V1790,0.36
V1791,0.22
V1792,0.4
V1793,0.3
V1794,0.41
V1795,0.36
V1796,0.37
V1797,0.18
V1798,0.08
V1799,0.34
V1800,0.73
V1801,0.03
V1802,0.4
V1803,0.3
V1804,0.32
V1805,0.27
V1806,0.82
V1807,0.1
V1808,0.3
V1809,0.36
V1810,0.23
V1811,0.32
V1812,0.29
V1813,0.32
V1814,0.84
V1815,0.25
V1816,0.32
V1817,0.08
V1818,0.23
V1819,0.79
V1820,0.14
V1821,0.37
V1822,0.15
V1823,0.14
V1824,0.12
V1825,0.37
V1826,0.11
V1827,0.08
V1828,0.16
V1829,0.27
V1830,0.22
V1831,0.26
V1832,0.34
V1833,0.03
V1834,0.32
V1835,0.33
V1836,0.34
V1837,0.4
V1838,0.16
V1839,0.4
V1840,0.3
V1841,0.38
V1842,0.08
V1843,0.33
V1844,0.27
V1845,0.21
V1846,0.19
V1847,0.18
V1848,0.05
V1849,0.08
V1850,0.18
V1851,0.27
V1852,0.22
V1853,0.01
V1854,0.27
V1855,0.07
V1856,0.1
V1857,0.23
V1858,0.19
V1859,0.25
V1860,0.14
V1861,0.08
V1862,0.08
V1863,0.36
V1864,0.32
V1865,0.26
V1866,0.21
V1867,0.04
V1868,0.78
V1869,0.32
V1870,0.3
V1871,0.03
V1872,0.08
V1873,0.08
V1874,0.27
